DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX,sample_weight
2107.0,82.1962248,17.3,2.451,120,4.91,5.11,168.2475976,0.997744560400977
2107.125,81.98457552,16.9,2.444,118,5.18,5.37,166.3687762,0.37858890919722243
2107.25,81.67768084,16.3,2.437,116,5.4,5.6,165.1724094,0.37858890919722243
2107.375,81.50933169,15.8,2.435,114,5.55,5.76,164.5812354,0.37858890919722243
2107.5,81.74284547,15.7,2.448,116,5.57,5.82,164.7623378,0.37858890919722243
2107.625,81.97296076,15.7,2.478,122,5.46,5.77,165.3689451,0.37858890919722243
2107.75,82.94933681,15.7,2.516,130,5.33,5.68,166.2432933,0.37858890919722243
2107.875,84.29351824,15.7,2.547,135,5.27,5.63,167.371199,0.37858890919722243
2108.0,85.53501562,15.7,2.566,135,5.3,5.62,168.7286783,0.37858890919722243
2108.125,86.8212689,16.2,2.571,132,5.33,5.62,170.1961159,0.37858890919722243
2108.25,88.10966765,16.9,2.567,130,5.31,5.57,171.8418662,0.37858890919722243
2108.375,88.63765302,17.6,2.553,129,5.25,5.49,173.4513661,0.37858890919722243
2108.5,89.01814429,18.0,2.529,129,5.14,5.37,174.8330602,0.37858890919722243
2108.625,89.36521155,18.0,2.498,128,5.02,5.22,175.8329214,0.37858890919722243
2108.75,89.38987723,17.9,2.466,128,4.89,5.08,176.3313131,0.37858890919722243
2108.875,89.02332539,17.7,2.448,130,4.79,4.99,176.0868906,0.37858890919722243
2109.0,88.62248294,17.3,2.451,133,4.74,4.94,175.2079126,0.37858890919722243
2109.125,87.90726594,16.9,2.472,134,4.75,4.96,173.9443945,0.37858890919722243
2109.25,86.63611811,16.8,2.495,131,4.84,5.06,172.5812781,0.37858890919722243
2109.375,85.19163104,17.0,2.507,128,4.97,5.2,171.404982,0.37858890919722243
2109.5,84.97616188,17.3,2.505,127,5.1,5.35,170.6479282,0.37858890919722243
2109.625,86.49217402,17.6,2.495,129,5.2,5.45,170.904275,0.37858890919722243
2109.75,87.41591056,18.3,2.484,131,5.22,5.49,172.2342571,0.37858890919722243
2109.875,89.01388491,19.4,2.466,131,5.12,5.42,174.3999356,0.37858890919722243
2110.0,90.67416378,20.6,2.436,131,4.9,5.23,177.1235791,0.37858890919722243
2110.125,91.14389094,21.4,2.391,131,4.63,4.99,180.078868,0.37858890919722243
2110.25,91.61780827,21.4,2.35,131,4.39,4.75,182.7413516,0.37858890919722243
2110.375,91.54051988,21.2,2.335,131,4.24,4.58,184.3552378,0.37858890919722243
2110.5,91.11591864,20.8,2.351,130,4.19,4.51,185.0002171,0.37858890919722243
2110.625,90.38034337,20.0,2.386,128,4.24,4.54,184.8353192,0.37858890919722243
2110.75,89.59244173,19.2,2.418,128,4.33,4.64,184.0250976,0.37858890919722243
2110.875,89.29733839,18.9,2.44,128,4.41,4.72,182.6925751,0.37858890919722243
2111.0,89.49295846,19.0,2.449,126,4.43,4.75,181.325121,0.37858890919722243
2111.125,89.51863858,19.0,2.445,123,4.41,4.74,180.1545124,0.37858890919722243
2111.25,89.2947666,18.9,2.433,123,4.42,4.73,179.2256252,0.37858890919722243
2111.375,89.03755938,18.9,2.429,125,4.49,4.78,178.6600578,0.37858890919722243
2111.5,88.97903445,19.0,2.441,127,4.63,4.89,178.534623,0.37858890919722243
2111.625,88.92120965,18.6,2.466,127,4.8,5.05,178.6912011,0.37858890919722243
2111.75,88.58435787,17.9,2.486,125,4.94,5.22,178.9583557,0.37858890919722243
2111.875,88.30434213,17.3,2.493,125,5.02,5.35,179.3047484,0.37858890919722243
2112.0,88.15983885,17.5,2.489,126,5.02,5.39,179.5073243,0.37858890919722243
2112.125,88.18730919,18.1,2.482,128,4.99,5.39,179.4567287,0.37858890919722243
2112.25,88.36838524,18.6,2.482,129,4.95,5.38,179.2028236,0.37858890919722243
2112.375,88.16571135,18.7,2.489,131,4.96,5.39,178.8104352,0.37858890919722243
2112.5,87.89929304,18.6,2.494,132,5.02,5.43,178.1130961,0.37858890919722243
2112.625,87.94907028,18.3,2.484,131,5.14,5.52,177.2973061,0.37858890919722243
2112.75,87.91362723,18.2,2.46,129,5.29,5.65,176.374384,0.37858890919722243
2112.875,87.43391824,18.2,2.437,126,5.44,5.78,175.3148629,0.37858890919722243
2113.0,87.00199567,18.1,2.429,123,5.6,5.92,174.1297415,0.37858890919722243
2113.125,87.2915876,17.8,2.436,121,5.74,6.06,173.1838464,0.37858890919722243
2113.25,87.36262605,17.7,2.445,122,5.82,6.15,172.6967002,0.37858890919722243
2113.375,87.52219134,17.8,2.441,123,5.79,6.16,172.7787435,0.37858890919722243
2113.5,87.83603419,17.9,2.425,123,5.72,6.12,173.4412771,0.37858890919722243
2113.625,88.0732624,18.1,2.411,123,5.67,6.08,174.5905953,0.37858890919722243
2113.75,87.80087067,18.6,2.424,123,5.63,6.04,175.9578033,0.37858890919722243
2113.875,87.87128976,19.2,2.47,125,5.6,6.03,177.0914015,0.37858890919722243
2114.0,88.08235249,19.5,2.532,127,5.65,6.08,177.9875003,0.37858890919722243
2114.125,88.37150768,19.4,2.567,129,5.75,6.19,178.6918195,0.37858890919722243
2114.25,88.79592664,19.2,2.554,129,5.85,6.29,179.2947234,0.37858890919722243
2114.375,89.59038202,19.2,2.502,126,5.89,6.34,179.9307963,0.37858890919722243
2114.5,90.1094065,19.2,2.449,124,5.91,6.38,180.8181465,0.37858890919722243
2114.625,90.57461752,18.8,2.42,123,5.96,6.45,181.7694254,0.37858890919722243
2114.75,90.9452273,18.1,2.418,123,6.04,6.54,182.7085957,0.37858890919722243
2114.875,91.15915709,17.4,2.426,125,6.15,6.64,183.5432161,0.37858890919722243
2115.0,91.12784705,17.1,2.429,126,6.29,6.77,184.1706839,0.37858890919722243
2115.125,90.60348681,17.3,2.424,127,6.42,6.9,184.4338893,0.37858890919722243
2115.25,90.28127756,17.8,2.416,128,6.48,6.98,184.2635923,0.37858890919722243
2115.375,90.35680689,18.2,2.412,131,6.46,6.99,183.6472512,0.37858890919722243
2115.5,90.11567533,18.7,2.412,133,6.42,6.95,182.5256726,0.37858890919722243
2115.625,89.66371831,19.2,2.412,133,6.39,6.9,180.8212844,0.37858890919722243
2115.75,90.56185558,19.7,2.406,133,6.36,6.84,178.4352661,0.37858890919722243
2115.875,86.94317119,19.5,2.394,131,6.35,6.79,175.4086913,0.37858890919722243
2116.0,84.47352579,18.4,2.384,127,6.45,6.83,172.1388638,0.37858890919722243
2116.125,84.35057598,16.9,2.389,122,6.79,7.07,168.9241743,0.37858890919722243
2116.25,84.82622106,16.0,2.413,118,7.32,7.49,166.1211877,0.37858890919722243
2116.375,83.74303406,15.9,2.449,114,7.9,7.96,164.1290335,0.37858890919722243
2116.5,83.80692841,16.7,2.477,113,8.28,8.3,163.564893,0.37858890919722243
2116.625,83.83331352,17.7,2.485,114,8.33,8.39,164.7156966,0.37858890919722243
2116.75,83.98309331,18.6,2.476,118,8.03,8.2,166.5726024,0.37858890919722243
2116.875,85.22255256,18.9,2.468,122,7.48,7.78,169.4784029,0.37858890919722243
2117.0,87.49698517,18.8,2.471,126,6.85,7.26,173.3693749,0.37858890919722243
2117.125,89.40776339,18.7,2.479,127,6.3,6.77,177.4874106,0.37858890919722243
2117.25,90.19007966,18.5,2.48,127,5.95,6.44,180.7710392,0.37858890919722243
2117.375,90.0833086,17.9,2.474,128,5.8,6.29,182.7039197,0.37858890919722243
2117.5,89.72952992,17.1,2.469,130,5.79,6.29,183.2490244,0.37858890919722243
2117.625,89.25751411,16.7,2.473,132,5.85,6.37,182.3928287,0.37858890919722243
2117.75,88.60342297,16.5,2.489,132,5.99,6.51,180.2566171,0.37858890919722243
2117.875,87.73547677,16.3,2.509,129,6.21,6.73,177.1800915,0.37858890919722243
