DEPTH,CAL,SP,GR,CNL,DT,DEN,MSFL,RS,RD,Facies,Well Name
2304.5,10.818,102.9,128,18.6,96,2.46,2.17,10.02,9.44,3,GY1
2304.6,10.7556,102.66,128,19,96.8,2.46,2.034,9.548,9.04,3,GY1
2304.7,10.713,102.42,128.6,19.58,97,2.4582,2.006,9.118,8.664,3,GY1
2304.8,10.7442,102.22,129,20.3,97,2.4546,2.086,8.778,8.364,3,GY1
2304.9,10.8426,102.1,128.8,21.06,97,2.4488,2.242,8.546,8.16,3,GY1
2305,10.941,102.1,128,21.7,97,2.44,2.41,8.41,8.04,3,GY1
2305.1,11.2002,102.02,126.4,22.1,97,2.4288,2.434,8.362,8.016,3,GY1
2305.2,11.4042,102,125.4,22.14,97,2.4146,2.356,8.35,8.04,3,GY1
2305.3,11.5006,102,125,21.98,97,2.3994,2.244,8.358,8.084,3,GY1
2305.4,11.4622,102.02,125.4,21.74,97,2.3852,2.178,8.366,8.118,3,GY1
2305.5,11.287,102.1,127,21.5,97,2.374,2.25,8.35,8.11,3,GY1
2305.6,10.9654,102.18,128.6,21.34,97,2.3756,2.506,8.31,8.046,3,GY1
2305.7,10.7614,102.32,129.6,21.18,97,2.3814,2.672,8.3,8,3,GY1
2305.8,10.5522,102.48,130.4,20.98,96.6,2.3878,2.672,8.332,8.004,3,GY1
2305.9,10.344,102.66,131.4,20.68,96,2.3926,2.578,8.41,8.072,3,GY1
2306,10.272,102.9,133,20.2,96,2.395,2.61,8.53,8.2,3,GY1
2306.1,10.252,103.06,133,19.72,95.2,2.4022,2.97,8.698,8.368,3,GY1
2306.2,10.3268,103.22,132.4,19.48,95,2.41,3.174,8.92,8.572,3,GY1
2306.3,10.4164,103.34,131.2,19.6,95,2.4136,3.102,9.192,8.808,3,GY1
2306.4,10.5008,103.44,130,20.06,94.8,2.4098,2.842,9.494,9.066,3,GY1
2306.5,10.62,103.6,130,20.7,94,2.397,2.69,9.79,9.33,3,GY1
2306.6,10.6424,103.68,130.8,21.1,94,2.3794,2.842,9.958,9.482,3,GY1
2306.7,10.621,103.7,131.6,21.14,93.4,2.3678,3.048,9.958,9.478,3,GY1
2306.8,10.5158,103.74,131.6,20.94,93,2.365,3.252,9.782,9.314,3,GY1
2306.9,10.3126,103.82,130.6,20.56,92.8,2.3744,3.43,9.444,9.004,3,GY1
2307,10.023,103.9,129,20,92,2.4,3.59,8.98,8.58,3,GY1
2307.1,9.863,104.06,127.4,19.44,91.2,2.4416,4.094,8.516,8.148,3,GY1
2307.2,9.6208,104.16,125.2,19,90.4,2.4874,5.174,8.136,7.818,3,GY1
2307.3,9.424,104.24,123.6,18.68,89.6,2.5274,6.366,7.88,7.614,3,GY1
2307.4,9.3342,104.32,123,18.54,88.8,2.557,7.206,7.754,7.536,3,GY1
2307.5,9.347,104.4,123,18.7,88,2.577,7.23,7.73,7.56,3,GY1
2307.6,9.547,104.48,124.6,19.18,88,2.5874,6.598,7.762,7.616,3,GY1
2307.7,9.7254,104.44,126.2,19.72,89.2,2.5744,5.726,7.776,7.636,3,GY1
2307.8,9.9722,104.32,127.4,20.12,90.8,2.5464,4.886,7.772,7.616,3,GY1
2307.9,10.2276,104.14,128.2,20.26,92.2,2.514,4.194,7.752,7.57,3,GY1
2308,10.282,103.9,129,20.1,93,2.49,3.61,7.72,7.53,3,GY1
2308.1,10.2076,103.66,129,19.94,93,2.4676,3.154,7.744,7.538,3,GY1
