DEPTH,GR,CNL,DT,DEN,MSFL,RS,RD,Well Name,Facies
2350.0000,113.4619,15.9331,81.0000,2.5902,11.5818,6.9659,7.4271,1,3
2350.0200,113.5189,15.9363,80.9627,2.5926,11.1305,6.9929,7.4587,1,3
2350.0400,113.6427,15.9558,80.9812,2.5951,10.6897,7.0149,7.4848,1,3
2350.0600,113.8334,15.9916,81.0553,2.5977,10.2593,7.0320,7.5052,1,3
2350.0800,114.0909,16.0438,81.1852,2.6005,9.8395,7.0442,7.5201,1,3
2350.1000,114.4153,16.1122,81.3709,2.6033,9.4300,7.0514,7.5294,1,3
2350.1200,114.8068,16.1970,81.6125,2.6062,9.0308,7.0537,7.5332,1,3
2350.1400,115.2649,16.2980,81.9098,2.6093,8.6422,7.0509,7.5313,1,3
2350.1600,115.7890,16.4152,82.2620,2.6124,8.2648,7.0432,7.5238,1,3
2350.1800,116.3791,16.5484,82.6693,2.6156,7.8985,7.0305,7.5107,1,3
2350.2000,117.0400,16.6988,83.1355,2.6189,7.5396,7.0130,7.4922,1,3
2350.2200,117.7736,16.8667,83.6620,2.6224,7.1865,6.9909,7.4685,1,3
2350.2400,118.5627,17.0486,84.2353,2.6259,6.8531,6.9632,7.4386,1,3
2350.2600,119.3650,17.2360,84.8227,2.6288,6.5728,6.9276,7.3996,1,3
2350.2800,120.1783,17.4285,85.4224,2.6310,6.3479,6.8841,7.3514,1,3
2350.3000,120.9934,17.6257,86.0294,2.6325,6.1900,6.8316,7.2929,1,3
2350.3200,121.8066,17.8274,86.6417,2.6333,6.1039,6.7699,7.2237,1,3
2350.3400,122.6195,18.0290,87.2534,2.6332,6.0726,6.7003,7.1457,1,3
2350.3600,123.4356,18.2190,87.8502,2.6321,6.0544,6.6263,7.0636,1,3
2350.3800,124.2552,18.3970,88.4315,2.6300,6.0473,6.5481,6.9777,1,3
2350.4000,125.0786,18.5599,88.9985,2.6267,6.0449,6.4657,6.8882,1,3
2350.4200,125.9058,18.7066,89.5517,2.6222,6.0448,6.3791,6.7953,1,3
2350.4400,126.7365,18.8389,90.0747,2.6168,6.0400,6.2905,6.7012,1,3
2350.4600,127.5699,18.9611,90.5274,2.6109,6.0135,6.2051,6.6118,1,3
2350.4800,128.4059,19.0735,90.9073,2.6045,5.9643,6.1233,6.5273,1,3
2350.5000,129.2453,19.1768,91.1985,2.5978,5.8862,6.0461,6.4489,1,3
2350.5200,130.0884,19.2714,91.3945,2.5908,5.7768,5.9740,6.3772,1,3
2350.5400,130.9319,19.3573,91.5215,2.5835,5.6432,5.9069,6.3121,1,3
2350.5600,131.7676,19.4348,91.6438,2.5763,5.5027,5.8449,6.2530,1,3
2350.5800,132.5953,19.5037,91.7649,2.5689,5.3563,5.7879,6.2001,1,3
2350.6000,133.4164,19.5642,91.8990,2.5616,5.2066,5.7360,6.1534,1,3
2350.6200,134.2315,19.6161,92.0518,2.5543,5.0547,5.6893,6.1129,1,3
2350.6400,135.0295,19.6600,92.2180,2.5470,4.9029,5.6475,6.0782,1,3
2350.6600,135.7830,19.6973,92.3848,2.5399,4.7570,5.6098,6.0482,1,3
2350.6800,136.4906,19.7281,92.5516,2.5330,4.6174,5.5761,6.0228,1,3
2350.7000,137.1480,19.7522,92.7164,2.5264,4.4847,5.5466,6.0021,1,3
2350.7200,137.7534,19.7697,92.8783,2.5201,4.3593,5.5211,5.9860,1,3
2350.7400,138.3017,19.7818,93.0379,2.5140,4.2436,5.4991,5.9738,1,3
2350.7600,138.7804,19.7913,93.1967,2.5080,4.1441,5.4794,5.9639,1,3
2350.7800,139.1887,19.7983,93.3546,2.5022,4.0609,5.4618,5.9561,1,3
2350.8000,139.5226,19.8037,93.5114,2.4966,3.9958,5.4461,5.9502,1,3
2350.8200,139.7804,19.8077,93.6670,2.4912,3.9494,5.4323,5.9461,1,3
2350.8400,139.9661,19.8098,93.8230,2.4859,3.9209,5.4200,5.9435,1,3
2350.8600,140.0895,19.8081,93.9836,2.4803,3.9088,5.4088,5.9418,1,3
2350.8800,140.1512,19.8026,94.1491,2.4744,3.9129,5.3985,5.9410,1,3
2350.9000,140.1519,19.7925,94.3238,2.4682,3.9338,5.3890,5.9409,1,3
2350.9200,140.0919,19.7774,94.5093,2.4615,3.9716,5.3803,5.9415,1,3
2350.9400,139.9749,19.7594,94.6938,2.4547,4.0237,5.3723,5.9427,1,3
2350.9600,139.8103,19.7429,94.8481,2.4483,4.0840,5.3648,5.9449,1,3
2350.9800,139.5984,19.7283,94.9707,2.4424,4.1522,5.3577,5.9478,1,3
2351.0000,139.3400,19.7167,95.0545,2.4372,4.2270,5.3509,5.9517,1,3
2351.0200,139.0352,19.7084,95.0968,2.4326,4.3081,5.3444,5.9565,1,3
2351.0400,138.6889,19.7031,95.1011,2.4288,4.3948,5.3384,5.9620,1,3
2351.0600,138.3132,19.7003,95.0763,2.4256,4.4854,5.3337,5.9683,1,3
2351.0800,137.9087,19.6997,95.0227,2.4232,4.5797,5.3302,5.9753,1,3
2351.1000,137.4765,19.7014,94.9389,2.4216,4.6779,5.3281,5.9830,1,3
2351.1200,137.0170,19.7052,94.8242,2.4207,4.7799,5.3274,5.9914,1,3
2351.1400,136.5354,19.7114,94.6890,2.4206,4.8841,5.3282,6.0005,1,3
2351.1600,136.0446,19.7203,94.5588,2.4212,4.9866,5.3302,6.0103,1,3
2351.1800,135.5451,19.7319,94.4350,2.4226,5.0869,5.3334,6.0208,1,3
2351.2000,135.0383,19.7458,94.3230,2.4247,5.1848,5.3379,6.0321,1,3
2351.2200,134.5248,19.7618,94.2251,2.4276,5.2799,5.3437,6.0441,1,3
2351.2400,134.0095,19.7818,94.1409,2.4313,5.3711,5.3506,6.0569,1,3
2351.2600,133.5049,19.8107,94.0699,2.4354,5.4553,5.3585,6.0703,1,3
2351.2800,133.0115,19.8487,94.0122,2.4401,5.5326,5.3673,6.0844,1,3
2351.3000,132.5301,19.8981,93.9715,2.4453,5.6035,5.3770,6.0992,1,3
2351.3200,132.0610,19.9596,93.9493,2.4510,5.6684,5.3876,6.1146,1,3
2351.3400,131.6110,20.0293,93.9331,2.4571,5.7223,5.3990,6.1307,1,3
2351.3600,131.1967,20.0974,93.8925,2.4630,5.7534,5.4111,6.1475,1,3
2351.3800,130.8191,20.1632,93.8256,2.4688,5.7609,5.4239,6.1651,1,3
2351.4000,130.4820,20.2251,93.7235,2.4742,5.7396,5.4374,6.1836,1,3
2351.4200,130.1869,20.2823,93.5826,2.4793,5.6875,5.4515,6.2030,1,3
2351.4400,129.9330,20.3342,93.4123,2.4842,5.6139,5.4661,6.2228,1,3
2351.4600,129.7181,20.3791,93.2361,2.4891,5.5420,5.4807,6.2422,1,3
2351.4800,129.5421,20.4170,93.0550,2.4940,5.4730,5.4955,6.2610,1,3
2351.5000,129.4062,20.4472,92.8712,2.4990,5.4114,5.5102,6.2790,1,3
2351.5200,129.3107,20.4694,92.6854,2.5041,5.3592,5.5250,6.2960,1,3
